,STATE,YEAR,gdp_per_capita
621,Maine,2002,37584
622,Maryland,2002,47714
623,Massachusetts,2002,55234
624,Michigan,2002,41907
625,Minnesota,2002,47944
626,Mississippi,2002,29056
627,Missouri,2002,41421
628,Montana,2002,32851
629,Nebraska,2002,42746
630,Nevada,2002,48489
631,New Hampshire,2002,45311
632,New Jersey,2002,54842
633,New Mexico,2002,38421
634,New York,2002,55039
635,North Carolina,2002,42443
636,North Dakota,2002,37893
637,Ohio,2002,42818
638,Oklahoma,2002,35316
639,Oregon,2002,37669
640,Pennsylvania,2002,42756
641,Rhode Island,2002,43041
642,South Carolina,2002,36341
643,South Dakota,2002,40062
644,Tennessee,2002,39514
645,Texas,2002,44661
646,Utah,2002,38764
647,Vermont,2002,38541
648,Virginia,2002,47962
649,Washington,2002,48855
650,West Virginia,2002,32506
651,Wisconsin,2002,42694
652,Wyoming,2002,53921
653,New England,2002,52547
654,Mideast,2002,52287
655,Great Lakes,2002,44033
656,Plains,2002,42656
657,Southeast,2002,40080
658,Southwest,2002,42371
659,Rocky Mountain,2002,43937
660,Far West,2002,47346
661,United States,2003,45831
662,Alabama,2003,34855
663,Alaska,2003,59008
664,Arizona,2003,40769
665,Arkansas,2003,33678
666,California,2003,49501
667,Colorado,2003,50743
668,Connecticut,2003,61419
669,Delaware,2003,67956
670,District of Columbia,2003,152623
671,Florida,2003,40983
672,Georgia,2003,45453
673,Hawaii,2003,46437
674,Idaho,2003,34034
675,Illinois,2003,49495
676,Indiana,2003,42099
677,Iowa,2003,41665
678,Kansas,2003,40944
679,Kentucky,2003,36731
680,Louisiana,2003,43275
681,Maine,2003,38136
682,Maryland,2003,48471
683,Massachusetts,2003,56380
684,Michigan,2003,42581
685,Minnesota,2003,49769
686,Mississippi,2003,30139
687,Missouri,2003,42043
688,Montana,2003,33848
689,Nebraska,2003,44904
690,Nevada,2003,49271
691,New Hampshire,2003,46621
692,New Jersey,2003,55897
693,New Mexico,2003,39578
694,New York,2003,54756
695,North Carolina,2003,42871
696,North Dakota,2003,40213
697,Ohio,2003,43445
698,Oklahoma,2003,35780
699,Oregon,2003,38870
700,Pennsylvania,2003,43553
701,Rhode Island,2003,44625
702,South Carolina,2003,37283
703,South Dakota,2003,40909
704,Tennessee,2003,40463
705,Texas,2003,44330
706,Utah,2003,39094
707,Vermont,2003,39886
708,Virginia,2003,49191
709,Washington,2003,49149
710,West Virginia,2003,32396
711,Wisconsin,2003,43568
712,Wyoming,2003,54930
713,New England,2003,53454
714,Mideast,2003,52692
715,Great Lakes,2003,44752
716,Plains,2003,43961
717,Southeast,2003,40912
718,Southwest,2003,42519
719,Rocky Mountain,2003,44133
720,Far West,2003,48705
721,United States,2004,47010
722,Alabama,2004,36702
723,Alaska,2004,60137
724,Arizona,2004,41063
725,Arkansas,2004,34936
726,California,2004,51520
727,Colorado,2004,50083
728,Connecticut,2004,65034
729,Delaware,2004,69500
730,District of Columbia,2004,160065
731,Florida,2004,41736
732,Georgia,2004,46599
733,Hawaii,2004,48373
734,Idaho,2004,34665
735,Illinois,2004,50479
736,Indiana,2004,43143
737,Iowa,2004,44605
738,Kansas,2004,40748
739,Kentucky,2004,37463
740,Louisiana,2004,44706
741,Maine,2004,39089
742,Maryland,2004,50547
743,Massachusetts,2004,57699
744,Michigan,2004,42384
745,Minnesota,2004,51256
746,Mississippi,2004,30509
747,Missouri,2004,42643
748,Montana,2004,34870
749,Nebraska,2004,45488
750,Nevada,2004,52310
751,New Hampshire,2004,47472
752,New Jersey,2004,56261
753,New Mexico,2004,41558
754,New York,2004,56259
755,North Carolina,2004,43866
756,North Dakota,2004,40099
757,Ohio,2004,44434
758,Oklahoma,2004,36634
759,Oregon,2004,42196
760,Pennsylvania,2004,44585
761,Rhode Island,2004,46310
762,South Carolina,2004,37124
763,South Dakota,2004,42046
764,Tennessee,2004,41777
765,Texas,2004,45691
766,Utah,2004,40089
767,Vermont,2004,41165
768,Virginia,2004,50400
769,Washington,2004,49407
770,West Virginia,2004,32862
771,Wisconsin,2004,44455
772,Wyoming,2004,55848
773,New England,2004,55270
774,Mideast,2004,53996
775,Great Lakes,2004,45470
776,Plains,2004,45031
777,Southeast,2004,41901
778,Southwest,2004,43687
779,Rocky Mountain,2004,44273
780,Far West,2004,50640
781,United States,2005,48062
782,Alabama,2005,37578
783,Alaska,2005,61125
784,Arizona,2005,43018
785,Arkansas,2005,35649
786,California,2005,53320
787,Colorado,2005,51473
788,Connecticut,2005,66032
789,Delaware,2005,67525
790,District of Columbia,2005,163100
791,Florida,2005,43326
792,Georgia,2005,47610
793,Hawaii,2005,50145
794,Idaho,2005,35895
795,Illinois,2005,51237
796,Indiana,2005,42826
797,Iowa,2005,45554
798,Kansas,2005,41736
799,Kentucky,2005,38205
800,Louisiana,2005,47004
